PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37258301,Efficient taxa identification using a pangenome index,"Ahmed O, Rossi M, Boucher C, Langmead B.",Genome Res. 2023 Jul;33(7):1069-1077. doi: 10.1101/gr.277642.123. Epub 2023 May 31.,Ahmed O,Genome Res,2023,2023-05-31,PMC10538492,,10.1101/gr.277642.123
37254877,Human embryo implantation,"Muter J, Lynch VJ, McCoy RC, Brosens JJ.",Development. 2023 May 15;150(10):dev201507. doi: 10.1242/dev.201507. Epub 2023 May 31.,Muter J,Development,2023,2023-05-31,PMC10281521,,10.1242/dev.201507
37293111,Comprehensive screening of a light-inducible split Cre recombinase with domain insertion profiling,"Tague N, Andreani V, Fan Y, Timp W, Dunlop MJ.",bioRxiv [Preprint]. 2023 May 26:2023.05.26.542511. doi: 10.1101/2023.05.26.542511.,Tague N,bioRxiv,2023,2023-06-09,PMC10245967,,10.1101/2023.05.26.542511
37251303,Multicentre genetic diversity study of carbapenem-resistant Enterobacterales: predominance of untypeable pUVA-like bla(KPC) bearing plasmids,"Simner PJ, Bergman Y, Fan Y, Jacobs EB, Ramakrishnan S, Lu J, Lewis S, Hanlon A, Tamma PD, Schatz MC, Timp W, Carroll KC.",JAC Antimicrob Resist. 2023 May 26;5(3):dlad061. doi: 10.1093/jacamr/dlad061. eCollection 2023 Jun.,Simner PJ,JAC Antimicrob Resist,2023,2023-05-30,PMC10214462,,10.1093/jacamr/dlad061
36993314,"Regional Gene Expression in the Retina, Optic Nerve Head, and Optic Nerve of Mice with Experimental Glaucoma and Optic Nerve Crush","Keuthan CJ, Schaub J, Wei M, Fang W, Quillen S, Kimball E, Johnson TV, Ji H, Zack DJ, Quigley HA.",bioRxiv [Preprint]. 2023 May 25:2023.02.21.529410. doi: 10.1101/2023.02.21.529410.,Keuthan CJ,bioRxiv,2023,2023-03-30,PMC10054954,,10.1101/2023.02.21.529410
37226416,Activity-regulated gene expression across cell types of the mouse hippocampus,"Nelson ED, Maynard KR, Nicholas KR, Tran MN, Divecha HR, Collado-Torres L, Hicks SC, Martinowich K.",Hippocampus. 2023 Sep;33(9):1009-1027. doi: 10.1002/hipo.23548. Epub 2023 May 24.,Nelson ED,Hippocampus,2023,2023-05-25,PMC11129873,NIHMS1992796,10.1002/hipo.23548
37209680,Human scent guides mosquito thermotaxis and host selection under naturalistic conditions,"Giraldo D, Rankin-Turner S, Corver A, Tauxe GM, Gao AL, Jackson DM, Simubali L, Book C, Stevenson JC, Thuma PE, McCoy RC, Gordus A, Mburu MM, Simulundu E, McMeniman CJ.",Curr Biol. 2023 Jun 19;33(12):2367-2382.e7. doi: 10.1016/j.cub.2023.04.050. Epub 2023 May 19.,Giraldo D,Curr Biol,2023,2023-05-20,PMC10824255,NIHMS1945955,10.1016/j.cub.2023.04.050
37202771,SPUMONI 2: improved classification using a pangenome index of minimizer digests,"Ahmed OY, Rossi M, Gagie T, Boucher C, Langmead B.",Genome Biol. 2023 May 18;24(1):122. doi: 10.1186/s13059-023-02958-1.,Ahmed OY,Genome Biol,2023,2023-05-18,PMC10197461,,10.1186/s13059-023-02958-1
37292692,Clonal Hematopoiesis of Indeterminate Potential is Associated with Acute Kidney Injury,"Vlasschaert C, Robinson-Cohen C, Kestenbaum B, Silver SA, Chen JC, Akwo E, Bhatraju PK, Zhang MZ, Cao S, Jiang M, Wang Y, Niu A, Siew E, Kramer HJ, Kottgen A, Franceschini N, Psaty BM, Tracy RP, Alonso A, Arking DE, Coresh J, Ballantyne CM, Boerwinkle E, Grams M, Lanktree MB, Rauh MJ, Harris RC Jr, Bick AG.",medRxiv [Preprint]. 2023 May 17:2023.05.16.23290051. doi: 10.1101/2023.05.16.23290051.,Vlasschaert C,medRxiv,2023,2023-06-09,PMC10246021,,10.1101/2023.05.16.23290051
37292896,The ENCODE4 long-read RNA-seq collection reveals distinct classes of transcript structure diversity,"Reese F, Williams B, Balderrama-Gutierrez G, Wyman D, Çelik MH, Rebboah E, Rezaie N, Trout D, Razavi-Mohseni M, Jiang Y, Borsari B, Morabito S, Liang HY, McGill CJ, Rahmanian S, Sakr J, Jiang S, Zeng W, Carvalho K, Weimer AK, Dionne LA, McShane A, Bedi K, Elhajjajy SI, Upchurch S, Jou J, Youngworth I, Gabdank I, Sud P, Jolanki O, Strattan JS, Kagda MS, Snyder MP, Hitz BC, Moore JE, Weng Z, Bennett D, Reinholdt L, Ljungman M, Beer MA, Gerstein MB, Pachter L, Guigó R, Wold BJ, Mortazavi A.",bioRxiv [Preprint]. 2023 May 16:2023.05.15.540865. doi: 10.1101/2023.05.15.540865.,Reese F,bioRxiv,2023,2023-06-09,PMC10245583,,10.1101/2023.05.15.540865
37192320,Long-Term Air Pollution Exposure and Mitochondrial DNA Copy Number: An Analysis of UK Biobank Data,"Hong YS, Battle SL, Puiu D, Shi W, Pankratz N, Zhao D, Arking DE, Guallar E.",Environ Health Perspect. 2023 May;131(5):57703. doi: 10.1289/EHP11946. Epub 2023 May 16.,Hong YS,Environ Health Perspect,2023,2023-05-16,PMC10187973,,10.1289/EHP11946
37214135,Challenges and opportunities to computationally deconvolve heterogeneous tissue with varying cell sizes using single cell RNA-sequencing datasets,"Maden SK, Kwon SH, Huuki-Myers LA, Collado-Torres L, Hicks SC, Maynard KR.",ArXiv [Preprint]. 2023 May 10:arXiv:2305.06501v1.,Maden SK,ArXiv,2023,2023-05-22,PMC10197733,,
37165242,A draft human pangenome reference,"Liao WW, Asri M, Ebler J, Doerr D, Haukness M, Hickey G, Lu S, Lucas JK, Monlong J, Abel HJ, Buonaiuto S, Chang XH, Cheng H, Chu J, Colonna V, Eizenga JM, Feng X, Fischer C, Fulton RS, Garg S, Groza C, Guarracino A, Harvey WT, Heumos S, Howe K, Jain M, Lu TY, Markello C, Martin FJ, Mitchell MW, Munson KM, Mwaniki MN, Novak AM, Olsen HE, Pesout T, Porubsky D, Prins P, Sibbesen JA, Sirén J, Tomlinson C, Villani F, Vollger MR, Antonacci-Fulton LL, Baid G, Baker CA, Belyaeva A, Billis K, Carroll A, Chang PC, Cody S, Cook DE, Cook-Deegan RM, Cornejo OE, Diekhans M, Ebert P, Fairley S, Fedrigo O, Felsenfeld AL, Formenti G, Frankish A, Gao Y, Garrison NA, Giron CG, Green RE, Haggerty L, Hoekzema K, Hourlier T, Ji HP, Kenny EE, Koenig BA, Kolesnikov A, Korbel JO, Kordosky J, Koren S, Lee H, Lewis AP, Magalhães H, Marco-Sola S, Marijon P, McCartney A, McDaniel J, Mountcastle J, Nattestad M, Nurk S, Olson ND, Popejoy AB, Puiu D, Rautiainen M, Regier AA, Rhie A, Sacco S, Sanders AD, Schneider VA, Schultz BI, Shafin K, Smith MW, Sofia HJ, Abou Tayoun AN, Thibaud-Nissen F, Tricomi FF, et al.",Nature. 2023 May;617(7960):312-324. doi: 10.1038/s41586-023-05896-x. Epub 2023 May 10.,Liao WW,Nature,2023,2023-05-10,PMC10172123,,10.1038/s41586-023-05896-x
37161088,Beyond assembly: the increasing flexibility of single-molecule sequencing technology,"Hook PW, Timp W.",Nat Rev Genet. 2023 Sep;24(9):627-641. doi: 10.1038/s41576-023-00600-1. Epub 2023 May 9.,Hook PW,Nat Rev Genet,2023,2023-05-10,PMC10169143,,10.1038/s41576-023-00600-1
37156619,Genomic insights into metabolic flux in hummingbirds,"Gershman A, Hauck Q, Dick M, Jamison JM, Tassia M, Agirrezabala X, Muhammad S, Ali R, Workman RE, Valle M, Wong GW, Welch KC Jr, Timp W.",Genome Res. 2023 May;33(5):703-714. doi: 10.1101/gr.276779.122. Epub 2023 May 8.,Gershman A,Genome Res,2023,2023-05-08,PMC10317124,,10.1101/gr.276779.122
37156443,Contrasting Association of Maternal Plasma Biomarkers of Smoking and 1-Carbon Micronutrients with Offspring DNA Methylation: Evidence of Aryl Hydrocarbon Receptor Repressor Gene-Smoking-Folate Interaction,"Xu R, Hong X, Ladd-Acosta C, Buckley JP, Choi G, Wang G, Hou W, Wang X, Liang L, Ji H.",J Nutr. 2023 Aug;153(8):2339-2351. doi: 10.1016/j.tjnut.2023.05.002. Epub 2023 May 6.,Xu R,J Nutr,2023,2023-05-08,PMC10447613,,10.1016/j.tjnut.2023.05.002
37147657,Pangenomic genotyping with the marker array,"Mun T, Vaddadi NSK, Langmead B.",Algorithms Mol Biol. 2023 May 5;18(1):2. doi: 10.1186/s13015-023-00225-3.,Mun T,Algorithms Mol Biol,2023,2023-05-05,PMC10161648,,10.1186/s13015-023-00225-3
37140166,Familial Clonal Hematopoiesis in a Long Telomere Syndrome,"DeBoy EA, Tassia MG, Schratz KE, Yan SM, Cosner ZL, McNally EJ, Gable DL, Xiang Z, Lombard DB, Antonarakis ES, Gocke CD, McCoy RC, Armanios M.",N Engl J Med. 2023 Jun 29;388(26):2422-2433. doi: 10.1056/NEJMoa2300503. Epub 2023 May 4.,DeBoy EA,N Engl J Med,2023,2023-05-04,PMC10501156,NIHMS1916839,10.1056/NEJMoa2300503
37132288,Nanopore sequencing identifies a higher frequency and expanded spectrum of mitochondrial DNA deletion mutations in human aging,"Vandiver AR, Hoang AN, Herbst A, Lee CC, Aiken JM, McKenzie D, Teitell MA, Timp W, Wanagat J.",Aging Cell. 2023 Jun;22(6):e13842. doi: 10.1111/acel.13842. Epub 2023 May 3.,Vandiver AR,Aging Cell,2023,2023-05-03,PMC10265159,,10.1111/acel.13842
37163127,Precision pharmacological reversal of genotype-specific diet-induced metabolic syndrome in mice informed by transcriptional regulation,"Wulfridge P, Davidovich A, Salvador AC, Manno GC, Tryggvadottir R, Idrizi A, Huda MN, Bennett BJ, Adams LG, Hansen KD, Threadgill DW, Feinberg AP.",bioRxiv [Preprint]. 2023 Apr 28:2023.04.25.538156. doi: 10.1101/2023.04.25.538156.,Wulfridge P,bioRxiv,2023,2023-05-10,PMC10168252,,10.1101/2023.04.25.538156
37101120,"Priors, population sizes, and power in genome-wide hypothesis tests","Cai J, Zhan J, Arking DE, Bader JS.",BMC Bioinformatics. 2023 Apr 26;24(1):170. doi: 10.1186/s12859-023-05261-9.,Cai J,BMC Bioinformatics,2023,2023-04-26,PMC10134629,,10.1186/s12859-023-05261-9
37087533,Potential utility of risk stratification for multicancer screening with liquid biopsy tests,"Kim ES, Scharpf RB, Garcia-Closas M, Visvanathan K, Velculescu VE, Chatterjee N.",NPJ Precis Oncol. 2023 Apr 22;7(1):39. doi: 10.1038/s41698-023-00377-w.,Kim ES,NPJ Precis Oncol,2023,2023-04-22,PMC10122653,,10.1038/s41698-023-00377-w
37131684,ERK Hyperactivation Serves as a Unified Mechanism of Escape in Intrinsic and Acquired CDK4/6 Inhibitor Resistance in Acral Lentiginous Melanoma,"Rebecca V, Jagirdar K, Portuallo M, Wei M, Wilhide M, Bravo J, Robertson B, Alicea G, Aguh C, Xiao M, Godok T, Fingerman D, Brown G, Herlyn M, Guo B, Toska E, Zabransky D, Wubbenhorst B, Nathanson K, Kwatra S, Goyal Y, Ji H, Liu Q.",Res Sq [Preprint]. 2023 Apr 20:rs.3.rs-2817876. doi: 10.21203/rs.3.rs-2817876/v1.,Rebecca V,Res Sq,2023,2023-05-03,PMC10153386,,10.21203/rs.3.rs-2817876/v1
36881486,Morphology-guided transcriptomic analysis of human pancreatic cancer organoids reveals microenvironmental signals that enhance invasion,"Jeong YJ, Knutsdottir H, Shojaeian F, Lerner MG, Wissler MF, Henriet E, Ng T, Datta S, Navarro-Serer B, Chianchiano P, Kinny-Köster B, Zimmerman JW, Stein-O'Brien G, Gaida MM, Eshleman JR, Lin MT, Fertig EJ, Ewald AJ, Bader JS, Wood LD.",J Clin Invest. 2023 Apr 17;133(8):e162054. doi: 10.1172/JCI162054.,Jeong YJ,J Clin Invest,2023,2023-03-07,PMC10104894,,10.1172/JCI162054
37061542,Next-generation large-scale binary protein interaction network for Drosophila melanogaster,"Tang HW, Spirohn K, Hu Y, Hao T, Kovács IA, Gao Y, Binari R, Yang-Zhou D, Wan KH, Bader JS, Balcha D, Bian W, Booth BW, Coté AG, de Rouck S, Desbuleux A, Goh KY, Kim DK, Knapp JJ, Lee WX, Lemmens I, Li C, Li M, Li R, Lim HJ, Liu Y, Luck K, Markey D, Pollis C, Rangarajan S, Rodiger J, Schlabach S, Shen Y, Sheykhkarimli D, TeeKing B, Roth FP, Tavernier J, Calderwood MA, Hill DE, Celniker SE, Vidal M, Perrimon N, Mohr SE.",Nat Commun. 2023 Apr 15;14(1):2162. doi: 10.1038/s41467-023-37876-0.,Tang HW,Nat Commun,2023,2023-04-15,PMC10105736,,10.1038/s41467-023-37876-0
36995257,Overexpression screen of chromosome 21 genes reveals modulators of Sonic hedgehog signaling relevant to Down syndrome,"Moyer AJ, Fernandez FX, Li Y, Klinedinst DK, Florea LD, Kazuki Y, Oshimura M, Reeves RH.",Dis Model Mech. 2023 Apr 1;16(4):dmm049712. doi: 10.1242/dmm.049712. Epub 2023 Apr 13.,Moyer AJ,Dis Model Mech,2023,2023-03-30,PMC10120076,,10.1242/dmm.049712
37090629,Functional whole genome screen of nutrient-starved Mycobacterium tuberculosis identifies genes involved in antibiotic tolerance,"Matern WM, Harris HT, Danchik C, McDonald M, Patel G, Srivastava A, Ioerger TR, Bader JS, Karakousis PC.",bioRxiv [Preprint]. 2023 Apr 12:2023.04.12.536593. doi: 10.1101/2023.04.12.536593.,Matern WM,bioRxiv,2023,2023-04-24,PMC10120713,,10.1101/2023.04.12.536593
37066222,Mechanism of delayed cell death following simultaneous CRISPR-Cas9 targeting in pancreatic cancers,"Teh SSK, Halper-Stromberg E, Morsberger L, Bennett A, Bowland K, Skaist A, Cai F, Liang H, Hruban RH, Roberts NJ, Scharpf RB, Zou YS, Eshleman JR.",bioRxiv [Preprint]. 2023 Apr 5:2023.04.03.535384. doi: 10.1101/2023.04.03.535384.,Teh SSK,bioRxiv,2023,2023-04-17,PMC10103988,,10.1101/2023.04.03.535384
36711673,Scalable Nanopore sequencing of human genomes provides a comprehensive view of haplotype-resolved variation and methylation,"Kolmogorov M, Billingsley KJ, Mastoras M, Meredith M, Monlong J, Lorig-Roach R, Asri M, Jerez PA, Malik L, Dewan R, Reed X, Genner RM, Daida K, Behera S, Shafin K, Pesout T, Prabakaran J, Carnevali P; North American Brain Expression Consortium (NABEC); Yang J, Rhie A, Scholz SW, Traynor BJ, Miga KH, Jain M, Timp W, Phillippy AM, Chaisson M, Sedlazeck FJ, Blauwendraat C, Paten B.",bioRxiv [Preprint]. 2023 Apr 5:2023.01.12.523790. doi: 10.1101/2023.01.12.523790.,Kolmogorov M,bioRxiv,2023,2023-01-30,PMC9882142,,10.1101/2023.01.12.523790
37013830,"National Human Genome Research Institute Genomic Data Science Analysis, Visualization, and Informatics Lab-Space: Reaching out to Clinicians","Hall JL, Honeycutt S, Gonzalez N, O'Donnell-Luria A, Overby Taylor C, Stevens L, Philippakis AA, Schatz MC.",Circ Genom Precis Med. 2023 Jun;16(3):275-276. doi: 10.1161/CIRCGEN.122.003936. Epub 2023 Apr 4.,Hall JL,Circ Genom Precis Med,2023,2023-04-04,PMC10619961,NIHMS1885258,10.1161/CIRCGEN.122.003936
37012549,"Neoadjuvant enoblituzumab in localized prostate cancer: a single-arm, phase 2 trial","Shenderov E, De Marzo AM, Lotan TL, Wang H, Chan S, Lim SJ, Ji H, Allaf ME, Chapman C, Moore PA, Chen F, Sorg K, White AM, Church SE, Hudson B, Fields PA, Hu S, Denmeade SR, Pienta KJ, Pavlovich CP, Ross AE, Drake CG, Pardoll DM, Antonarakis ES.",Nat Med. 2023 Apr;29(4):888-897. doi: 10.1038/s41591-023-02284-w. Epub 2023 Apr 3.,Shenderov E,Nat Med,2023,2023-04-03,PMC10921422,NIHMS1966247,10.1038/s41591-023-02284-w
37000853,JASPER: A fast genome polishing tool that improves accuracy of genome assemblies,"Guo A, Salzberg SL, Zimin AV.",PLoS Comput Biol. 2023 Mar 31;19(3):e1011032. doi: 10.1371/journal.pcbi.1011032. eCollection 2023 Mar.,Guo A,PLoS Comput Biol,2023,2023-03-31,PMC10096238,,10.1371/journal.pcbi.1011032
37001506,The EN-TEx resource of multi-tissue personal epigenomes & variant-impact models,"Rozowsky J, Gao J, Borsari B, Yang YT, Galeev T, Gürsoy G, Epstein CB, Xiong K, Xu J, Li T, Liu J, Yu K, Berthel A, Chen Z, Navarro F, Sun MS, Wright J, Chang J, Cameron CJF, Shoresh N, Gaskell E, Drenkow J, Adrian J, Aganezov S, Aguet F, Balderrama-Gutierrez G, Banskota S, Corona GB, Chee S, Chhetri SB, Cortez Martins GC, Danyko C, Davis CA, Farid D, Farrell NP, Gabdank I, Gofin Y, Gorkin DU, Gu M, Hecht V, Hitz BC, Issner R, Jiang Y, Kirsche M, Kong X, Lam BR, Li S, Li B, Li X, Lin KZ, Luo R, Mackiewicz M, Meng R, Moore JE, Mudge J, Nelson N, Nusbaum C, Popov I, Pratt HE, Qiu Y, Ramakrishnan S, Raymond J, Salichos L, Scavelli A, Schreiber JM, Sedlazeck FJ, See LH, Sherman RM, Shi X, Shi M, Sloan CA, Strattan JS, Tan Z, Tanaka FY, Vlasova A, Wang J, Werner J, Williams B, Xu M, Yan C, Yu L, Zaleski C, Zhang J, Ardlie K, Cherry JM, Mendenhall EM, Noble WS, Weng Z, Levine ME, Dobin A, Wold B, Mortazavi A, Ren B, Gillis J, Myers RM, Snyder MP, Choudhary J, Milosavljevic A, Schatz MC, Bernstein BE, et al.",Cell. 2023 Mar 30;186(7):1493-1511.e40. doi: 10.1016/j.cell.2023.02.018.,Rozowsky J,Cell,2023,2023-03-31,PMC10074325,NIHMS1885972,10.1016/j.cell.2023.02.018
37034802,A Universal Method for Crossing Molecular and Atlas Modalities using Simplex-Based Image Varifolds and Quadratic Programming,"Stouffer KM, Trouv A, Younes L, Kunst M, Ng L, Zeng H, Anant M, Fan J, Kim Y, Miller MI.",bioRxiv [Preprint]. 2023 Mar 29:2023.03.28.534622. doi: 10.1101/2023.03.28.534622.,Stouffer KM,bioRxiv,2023,2023-04-10,PMC10081224,,10.1101/2023.03.28.534622
37108973,Biomechanical Comparison of Conventional Plate and the C-Nail(®) System for the Treatment of Displaced Intra-Articular Calcaneal Fractures: A Finite Element Analysis,"Pînzaru RM, Pavăl SD, Perțea M, Alexa O, Sîrbu PD, Filip A, Carp AC, Savin L, Forna N, Veliceasa B.",J Pers Med. 2023 Mar 27;13(4):587. doi: 10.3390/jpm13040587.,Pînzaru RM,J Pers Med,2023,2023-04-28,PMC10141664,,10.3390/jpm13040587
37034584,Distinct Myeloid Derived Suppressor Cell Populations Promote Tumor Aggression in Glioblastoma,"Jackson C, Cherry C, Bom S, Dykema AG, Thompson E, Zheng M, Ji Z, Hou W, Li R, Zhang H, Choi J, Rodriguez F, Weingart J, Yegnasubramanian S, Lim M, Bettegowda C, Powell J, Eliesseff J, Ji H, Pardoll D.",bioRxiv [Preprint]. 2023 Mar 27:2023.03.26.534192. doi: 10.1101/2023.03.26.534192.,Jackson C,bioRxiv,2023,2023-04-10,PMC10081225,,10.1101/2023.03.26.534192
37009024,Prediction of persistent chronic cough in patients with chronic cough using machine learning,"Chen W, Schatz M, Zhou Y, Xie F, Bali V, Das A, Schelfhout J, Stern JA, Zeiger RS.",ERJ Open Res. 2023 Mar 27;9(2):00471-2022. doi: 10.1183/23120541.00471-2022. eCollection 2023 Mar.,Chen W,ERJ Open Res,2023,2023-04-03,PMC10052506,,10.1183/23120541.00471-2022
36972204,Tautomer-Specific Deacylation and Ω-Loop Flexibility Explain the Carbapenem-Hydrolyzing Broad-Spectrum Activity of the KPC-2 β-Lactamase,"Tooke CL, Hinchliffe P, Beer M, Zinovjev K, Colenso CK, Schofield CJ, Mulholland AJ, Spencer J.",J Am Chem Soc. 2023 Apr 5;145(13):7166-7180. doi: 10.1021/jacs.2c12123. Epub 2023 Mar 27.,Tooke CL,J Am Chem Soc,2023,2023-03-27,PMC10080687,,10.1021/jacs.2c12123
36993373,Investigating Open Reading Frames in Known and Novel Transcripts using ORFanage,"Varabyou A, Erdogdu B, Salzberg SL, Pertea M.",bioRxiv [Preprint]. 2023 Mar 25:2023.03.23.533704. doi: 10.1101/2023.03.23.533704.,Varabyou A,bioRxiv,2023,2023-03-30,PMC10055401,,10.1101/2023.03.23.533704
36994150,The status of the human gene catalogue,"Amaral P, Carbonell-Sala S, De La Vega FM, Faial T, Frankish A, Gingeras T, Guigo R, Harrow JL, Hatzigeorgiou AG, Johnson R, Murphy TD, Pertea M, Pruitt KD, Pujar S, Takahashi H, Ulitsky I, Varabyou A, Wells CA, Yandell M, Carninci P, Salzberg SL.",ArXiv [Preprint]. 2023 Mar 24:arXiv:2303.13996v1.,Amaral P,ArXiv,2023,2023-03-30,PMC10055485,,
37033916,Immune activation and exhaustion marker expression on T-cell subsets in ART-treated adolescents and young adults with perinatal HIV-1 infection as correlates of viral persistence,"Huang Y, Dhummakupt A, Khetan P, Nilles T, Zhou W, Mudvari P, Szewczyk J, Chen YH, Boritz E, Ji H, Agwu A, Persaud D.",Front Immunol. 2023 Mar 23;14:1007626. doi: 10.3389/fimmu.2023.1007626. eCollection 2023.,Huang Y,Front Immunol,2023,2023-04-10,PMC10076634,,10.3389/fimmu.2023.1007626
36980511,"Rare Benign Tumors and Tumor-like Lesions of the Hand without Skin Damage-Clinical, Imagistic and Histopathological Diagnosis, Retrospective Study","Pertea M, Grosu OM, Filip A, Moraru DC, Luca S, Fotea MC, Lunca S, Olinici D, Poroch V, Carp C, Veliceasa B.",Diagnostics (Basel). 2023 Mar 22;13(6):1204. doi: 10.3390/diagnostics13061204.,Pertea M,Diagnostics (Basel),2023,2023-03-29,PMC10046979,,10.3390/diagnostics13061204
36762477,DNA methylation entropy is associated with DNA sequence features and developmental epigenetic divergence,"Fang Y, Ji Z, Zhou W, Abante J, Koldobskiy MA, Ji H, Feinberg AP.",Nucleic Acids Res. 2023 Mar 21;51(5):2046-2065. doi: 10.1093/nar/gkad050.,Fang Y,Nucleic Acids Res,2023,2023-02-10,PMC10018346,,10.1093/nar/gkad050
36986402,Early Transcriptional Responses of Human Nasal Epithelial Cells to Infection with Influenza A and SARS-CoV-2 Virus Differ and Are Influenced by Physiological Temperature,"Resnick JD, Beer MA, Pekosz A.",Pathogens. 2023 Mar 18;12(3):480. doi: 10.3390/pathogens12030480.,Resnick JD,Pathogens,2023,2023-03-29,PMC10051809,,10.3390/pathogens12030480
36927883,Association of Mitochondrial DNA Copy Number With Brain MRI Markers and Cognitive Function: A Meta-analysis of Community-Based Cohorts,"Zhang Y, Liu X, Wiggins KL, Kurniansyah N, Guo X, Rodrigue AL, Zhao W, Yanek LR, Ratliff SM, Pitsillides A, Aguirre Patiño JS, Sofer T, Arking DE, Austin TR, Beiser AS, Blangero J, Boerwinkle E, Bressler J, Curran JE, Hou L, Hughes TM, Kardia SLR, Launer LJ, Levy D, Mosley TH, Nasrallah IM, Rich SS, Rotter JI, Seshadri S, Tarraf W, González KA, Ramachandran V, Yaffe K, Nyquist PA, Psaty BM, DeCarli CS, Smith JA, Glahn DC, González HM, Bis JC, Fornage M, Heckbert SR, Fitzpatrick AL, Liu C, Satizabal CL; NHLBI Trans-Omics for Precision Medicine (TOPMed) program, Mitochondrial and Neurocognitive Working Groups.",Neurology. 2023 May 2;100(18):e1930-e1943. doi: 10.1212/WNL.0000000000207157. Epub 2023 Mar 16.,Zhang Y,Neurology,2023,2023-03-17,PMC10159770,,10.1212/WNL.0000000000207157
36918541,Genetic architecture of spatial electrical biomarkers for cardiac arrhythmia and relationship with cardiovascular disease,"Young WJ, Haessler J, Benjamins JW, Repetto L, Yao J, Isaacs A, Harper AR, Ramirez J, Garnier S, van Duijvenboden S, Baldassari AR, Concas MP, Duong T, Foco L, Isaksen JL, Mei H, Noordam R, Nursyifa C, Richmond A, Santolalla ML, Sitlani CM, Soroush N, Thériault S, Trompet S, Aeschbacher S, Ahmadizar F, Alonso A, Brody JA, Campbell A, Correa A, Darbar D, De Luca A, Deleuze JF, Ellervik C, Fuchsberger C, Goel A, Grace C, Guo X, Hansen T, Heckbert SR, Jackson RD, Kors JA, Lima-Costa MF, Linneberg A, Macfarlane PW, Morrison AC, Navarro P, Porteous DJ, Pramstaller PP, Reiner AP, Risch L, Schotten U, Shen X, Sinagra G, Soliman EZ, Stoll M, Tarazona-Santos E, Tinker A, Trajanoska K, Villard E, Warren HR, Whitsel EA, Wiggins KL, Arking DE, Avery CL, Conen D, Girotto G, Grarup N, Hayward C, Jukema JW, Mook-Kanamori DO, Olesen MS, Padmanabhan S, Psaty BM, Pattaro C, Ribeiro ALP, Rotter JI, Stricker BH, van der Harst P, van Duijn CM, Verweij N, Wilson JG, Orini M, Charron P, Watkins H, Kooperberg C, Lin HJ, Wilson JF, Kanters JK, Sotoodehnia N, Mifsud B, Lambiase PD, Tereshchenko LG, Munroe PB.",Nat Commun. 2023 Mar 14;14(1):1411. doi: 10.1038/s41467-023-36997-w.,Young WJ,Nat Commun,2023,2023-03-15,PMC10015012,,10.1038/s41467-023-36997-w
36945628,Dynamic network-guided CRISPRi screen reveals CTCF loop-constrained nonlinear enhancer-gene regulatory activity in cell state transitions,"Luo R, Yan J, Oh JW, Xi W, Shigaki D, Wong W, Cho H, Murphy D, Cutler R, Rosen BP, Pulecio J, Yang D, Glenn R, Chen T, Li QV, Vierbuchen T, Sidoli S, Apostolou E, Huangfu D, Beer MA.",bioRxiv [Preprint]. 2023 Mar 9:2023.03.07.531569. doi: 10.1101/2023.03.07.531569.,Luo R,bioRxiv,2023,2023-03-22,PMC10028945,,10.1101/2023.03.07.531569
36945583,Early transcriptional responses of human nasal epithelial cells to infection with Influenza A and SARS-CoV-2 virus differ and are influenced by physiological temperature,"Resnick JD, Beer MA, Pekosz A.",bioRxiv [Preprint]. 2023 Mar 9:2023.03.07.531609. doi: 10.1101/2023.03.07.531609.,Resnick JD,bioRxiv,2023,2023-03-22,PMC10028862,,10.1101/2023.03.07.531609
36630290,"The first gapless, reference-quality, fully annotated genome from a Southern Han Chinese individual","Chao KH, Zimin AV, Pertea M, Salzberg SL.",G3 (Bethesda). 2023 Mar 9;13(3):jkac321. doi: 10.1093/g3journal/jkac321.,Chao KH,G3 (Bethesda),2023,2023-01-11,PMC9997556,,10.1093/g3journal/jkac321
36882394,OTTERS: a powerful TWAS framework leveraging summary-level reference data,"Dai Q, Zhou G, Zhao H, Võsa U, Franke L, Battle A, Teumer A, Lehtimäki T, Raitakari OT, Esko T; eQTLGen Consortium; Epstein MP, Yang J.",Nat Commun. 2023 Mar 7;14(1):1271. doi: 10.1038/s41467-023-36862-w.,Dai Q,Nat Commun,2023,2023-03-07,PMC9992663,,10.1038/s41467-023-36862-w
36534496,Metastatic Colorectal Cancer Treatment Response Evaluation by Ultra-Deep Sequencing of Cell-Free DNA and Matched White Blood Cells,"van 't Erve I, Medina JE, Leal A, Papp E, Phallen J, Adleff V, Chiao EJ, Arun AS, Bolhuis K, Simmons JK, Karandikar A, Valkenburg KC, Sausen M, Angiuoli SV, Scharpf RB, Punt CJA, Meijer GA, Velculescu VE, Fijneman RJA.",Clin Cancer Res. 2023 Mar 1;29(5):899-909. doi: 10.1158/1078-0432.CCR-22-2538.,van 't Erve I,Clin Cancer Res,2023,2022-12-19,PMC9975664,,10.1158/1078-0432.CCR-22-2538
