PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
41838954,DNA Methylation Stochasticity Is Linked to Transcriptional Variability and Convergent Epigenetic Disruption across Genetic Subtypes of Acute Myeloid Leukemia,"Hilgart E, Zhou W, Martinez-Montes E, Tryggvadottir R, Gondek LP, Majeti R, Ji H, Koldobskiy MA, Feinberg AP.",Cancer Res. 2026 Jul 2;86(13):3325-3343. doi: 10.1158/0008-5472.CAN-25-5822.,Hilgart E,Cancer Res,2026,2026-03-16,PMC13148364,NIHMS2159665,10.1158/0008-5472.CAN-25-5822
42412836,RLBWT-based LCP computation in compressed space for terabase-scale pangenome analysis,"Sanaullah A, Brown NK, Shakya P, Deegutla A, Naseri A, Langmead B, Zhi D, Zhang S.",Bioinformatics. 2026 Jul 1;42(Supplement_1):btag268. doi: 10.1093/bioinformatics/btag268.,Sanaullah A,Bioinformatics,2026,2026-07-07,PMC13340163,,10.1093/bioinformatics/btag268
42385701,Four-dimensional molecular mapping from a spatial snapshot reveals the dynamics of hair follicle organogenesis,"Asami S, Yin C, Fan J, Garza LA, Kalhor R.",Cell. 2026 Jul 1:S0092-8674(26)00702-6. doi: 10.1016/j.cell.2026.06.014. Online ahead of print.,Asami S,Cell,2026,2026-07-01,PMC13379681,NIHMS2193327,10.1016/j.cell.2026.06.014
42385698,Spatiomolecular mapping reveals anatomical organization of heterogeneous cell types in the human nucleus accumbens,"Ravichandran P, Bach SV, Phillips RA 3rd, Valentine MR, Eagles NJ, Du Y, Del Rosario I, AlGrain HA, Maguire SE, Miller RA, Divecha HR, Tippani M, Montgomery KD, Kleinman JE, Han S, Page SC, Hyde TM, Collado-Torres L, Battle A, Martinowich K, Hicks SC, Maynard KR.",Neuron. 2026 Jul 1:S0896-6273(26)00448-4. doi: 10.1016/j.neuron.2026.06.002. Online ahead of print.,Ravichandran P,Neuron,2026,2026-07-01,PMC13378871,NIHMS2193301,10.1016/j.neuron.2026.06.002
42246252,Drop-on-fixed-target reaction initiation approach for serial and time-resolved crystallography,"Kamps JJAG, Hinchliffe P, Glerup J, Freeman EI, Lang PA, Tooke CL, Beer M, Parkinson L, Gu DH, Park S, Devenish N, Zhou T, Shilova A, Kaur S, Rabe P, Schofield CJ, Spencer J, Park J, Owen RL, Orville AM, Aller P.",IUCrJ. 2026 Jul 1;13(Pt 4):471-484. doi: 10.1107/S2052252526003489.,Kamps JJAG,IUCrJ,2026,2026-06-05,PMC13324609,,10.1107/S2052252526003489
42427579,Indirect genomic effects shape cancer risk across species,"Butler G, Ramakrishnan S, Collins T, Baker J, Amend SR; Vertebrate Genomes Project Consortium Phase I; Schatz MC, Venditti C, Pienta KJ.",bioRxiv [Preprint]. 2026 Jun 29:2026.06.29.735167. doi: 10.64898/2026.06.29.735167.,Butler G,bioRxiv,2026,2026-07-10,PMC13345119,,10.64898/2026.06.29.735167
42396206,"pVACtools v6: A comprehensive suite for neoantigen prediction, visualization, and therapy design","Hoang MH, Kiwala S, Richters M, Hendrickson L, Xia H, Schmidt E, Miller CA, Cotto KC, Lichti CF, Skidmore Z, Singhal K, Yao JX, Li J, Khanfar M, Risch I, Ward J, Govindan R, Dunn G, Johanns TM, Goedegebuure SP, Fehniger TA, Karchin R, Schreiber RD, Gillanders W, Griffith OL, Griffith M.",ArXiv [Preprint]. 2026 Jun 25:arXiv:2606.26659v1.,Hoang MH,ArXiv,2026,2026-07-03,PMC13321332,,
42395566,The Vertebrate Genomes Project Phase I: A global reference genome resource,"Formenti G, Absolon DE, Abueg LAL, Ackerman F, Al-Ajli FO, Aleixo A, Antunes A, Arcila D, Audet JN, Balacco JR, Beavan AJS, Belov K, Betancur-R R, Bidwell SL, Biegler MT, Bista I, Blaxter M, Boyer K, Braasch I, Bradbury IR, Brajuka N, Bronikowski AM, Brown T, Butler G, Cao S, Charvel E, Chen Y, Ciofi C, Clawson HM, Collins JC, Correard S, Corrigan S, Couture M, Crawford AJ, D'Alessandre ND, da Conceicao HB, da Fonseca RR, Daigavane M, Dalapicolla J, de Bruyn M, de Jong E, De Panis DN, Detrich HW 3rd, Scott CD, Diekhans M, Duarte E, Durbin R, Escalona M, Eschenbrenner M, Fedrigo O, Fenn J, Flannery P, Forde N, Gable SM, Galante PA, Ganesan R, Gardiner A, Garrison E, Gemmell NJ, Gilbert MTP, Giudicelli F, Gonçalves TM, Guardia GDA, Guarracino A, Gupta A, Haase B, Hays D, Hickey G, Hiller M, Hime PM, Hogg CJ, Horan KM, Howe K, Jackson D, Jain N, Kang L, Kliver S, Ko BJ, Koepfli KP, Komissarov A, Komoroske LM, Koo B, Koren S, Korlach J, Kovacic I, Krasheninnikova K, Kuderna LF, Langlois RA, Lariviere D, Larkin DM, Lee C, Lee YH, Lewin HA, Lim D, Lou RN, Mak SS, Makova KD, Marín-Gual L, Marques-Bonet T, Martin FJ, et al.",bioRxiv [Preprint]. 2026 Jun 25:2026.06.24.732306. doi: 10.64898/2026.06.24.732306.,Formenti G,bioRxiv,2026,2026-07-03,PMC13320880,,10.64898/2026.06.24.732306
42396288,Deleterious mitochondrial heteroplasmy drives high-risk clonal hematopoiesis and hematological malignancy,"Arking DE, McDonald T, Shi W, Puiu D, Arking JV, Pasca S, Hong YS, Gondek L.",medRxiv [Preprint]. 2026 Jun 24:2026.06.22.26356227. doi: 10.64898/2026.06.22.26356227.,Arking DE,medRxiv,2026,2026-07-03,PMC13321106,,10.64898/2026.06.22.26356227
42327329,Testing the reliability of AI-generated protein structures,"Xu A, Salzberg SL.",bioRxiv [Preprint]. 2026 Jun 13:2026.06.11.731682. doi: 10.64898/2026.06.11.731682.,Xu A,bioRxiv,2026,2026-06-22,PMC13278076,,10.64898/2026.06.11.731682
